"domain","URL","MobileURL","Date","Title","StationName","Location","place","best_para"
"KCRA","http://www.kcra.com/article/grandfather-accidentally-shot-killed-by-4-year-old-grandson/12822060","http://amp.kcra.com/article/grandfather-accidentally-shot-killed-by-4-year-old-grandson/12822060","2017-10-11 10:45:00","Grandfather accidentally shot to death by 4 - year - old grandson","KCRA-SAC (NBC)","Sacramento, CA"," Perquimans County, NC"," Perquimans County, NC — A North Carolina man died Sunday after his 4-year-old grandson accidentally shot him. Advertisement According to WAVY, the boy and his grandfather, identified as Danny Patrick, 57, were reportedly shooting a rifle Sunday in a rural part of Perquimans County. At some point, the boy fired a shot, striking his grandfather. After the shooting, the 4-year-old walked to a nearby home, knocked on a door and told the people inside that his grandfather was dead. The residents called 911 and first responders pronounced Patrick dead at the scene. A neighbor told reporters she had seen Patrick playing with his grandson just hours before. “This is really tragic,” said Margaret Mullen, the victim’s neighbor. “I’m really sorry to hear that.” "
"KLTV","http://www.kltv.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 13:45:00","Good Samaritan trying to help victim of dog attack accidentally - KLTV . com - Tyler , Longview , Jacksonville","KLTV (ABC)","Tyler, TX","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
"KMBC","http://www.kmbc.com/article/relative-of-slain-toddler-arrested-in-killing-of-teen-suspect/12835719","http://amp.kmbc.com/article/relative-of-slain-toddler-arrested-in-killing-of-teen-suspect/12835719","2017-10-12 12:45:00","Relative of slain toddler arrested in killing of teen suspect","KMBC-KC (ABC)","Kansas City, MO"," BELLEFONTAINE NEIGHBORS, Mo."," BELLEFONTAINE NEIGHBORS, Mo. — A relative of a slain 3-year-old has been arrested on suspicion of killing the teenager accused of unintentionally shooting the toddler, authorities say. Police say Kameron Harvey, 17, was shot on Oct. 4 while riding his bike in Bellefontaine Neighbors, just north of St. Louis. Harvey was charged with manslaughter in the December 2015 death of the toddler, Xavier ""Zae"" Robinson, and was on house arrest while the case was prosecuted in adult court.Police say two 17-year-olds, both males, were arrested about an hour after Harvey was killed. At least one of the teens is related to the toddler, said Detective Lt. Shawn Applegate. Both teens have been released, and Applegate says prosecutors are reviewing the case to determine whether to file charges.""There are no winners in cases like this,"" Applegate said. ""Both families are ripped apart and in mourning.""Authorities say Harvey was playing with the laser site on a handgun inside a home and shot the 3-year-old. Harvey was a friend of the family and 15 at the time. He ran from the home but turned himself in to police the next day.The toddler's parents, Shawmane Robinson and Semaj Porter of Florissant, were charged with child endangerment, the St. Louis Post-Dispatch reported. Police said the parents had seen Harvey and the toddler's older brother playing with a gun the prior evening and didn't take the gun away nor check to see whether it was loaded. Their cases are pending in St. Louis County Circuit Court.Robinson's attorney, Mark Byrne, told The Associated Press that it is ""unfortunate that he had to lose his son that way and that the state feels he should be punished the way he has been thus far.""Porter's attorney didn't immediately return a phone message from the AP. Advertisement "
"KSDK","http://www.ksdk.com/news/crime/relative-of-slain-toddler-arrested-in-killing-of-suspect/482663140","http://www.ksdk.com/amp/news/crime/relative-of-slain-toddler-arrested-in-killing-of-suspect/482663140","2017-10-12 03:45:00","Relative of slain toddler arrested in killing of suspect","KSDK-STL (NBC)","St. Louis, MO",""," Relative of slain toddler arrested in killing of suspect KSDK 8:59 PM. CDT October 11, 2017 Close-up of emergency lights (Photo: Hemera Technologies, Getty Images) CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST BELLEFONTAINE NEIGHBORS, Mo. (AP) — A relative of a slain 3-year-old has been arrested on suspicion of killing the teenager accused of unintentionally shooting the toddler, authorities say.Police say 17-year-old Kameron Harvey was shot on Oct. 4 while riding his bike in Bellefontaine Neighbors, just north of St. Louis. Harvey was charged with manslaughter in the December 2015 death of the toddler, Xavier ""Zae"" Robinson, and was on house arrest while the case was prosecuted in adult court.Police say two 17-year-olds, both males, were arrested about an hour after Harvey was killed. At least one of the teens is related to the toddler, said Detective Lt. Shawn Applegate. Both teens have been released, and Applegate says prosecutors are reviewing the case to determine whether to file charges.""There are no winners in cases like this,"" Applegate said. ""Both families are ripped apart and in mourning.""Authorities say Harvey was playing with the laser site on a handgun inside a home and shot the 3-year-old. Harvey was a friend of the family and 15 at the time. He ran from the home but turned himself in to police the next day.The toddler's parents, Shawmane Robinson and Semaj Porter of Florissant, were charged with child endangerment, the St. Louis Post-Dispatch reported. Police said the parents had seen Harvey and the toddler's older brother playing with a gun the prior evening and didn't take the gun away nor check to see whether it was loaded. Their cases are pending in St. Louis County Circuit Court.Robinson's attorney, Mark Byrne, told The Associated Press that it is ""unfortunate that he had to lose his son that way and that the state feels he should be punished the way he has been thus far.""Porter's attorney didn't immediately return a phone message from the AP. © 2017 Associated Press CONNECT TWEET LINKEDIN GOOGLE+ PINTEREST "
"KSWO","http://www.kswo.com/story/36561080/sheriff-oklahoma-zookeepers-husband-accidentally-shot-self","","2017-10-10 17:15:00","Sheriff : Oklahoma zookeeper husband accidentally shot self - KSWO , Lawton , OK - Wichita Falls , TX : News , Weather , Sports . ABC , 24 / 7 , Telemundo","KSWO (ABC)","Lawton, OK"," WYNNEWOOD, Okla."," WYNNEWOOD, Okla. (AP) - Authorities say the husband of an Oklahoma zookeeper and Libertarian Party candidate for governor apparently accidentally fatally shot himself in the head. Garvin County Sheriff Larry Rhodes said Tuesday that witnesses reported 23-year-old Travis Maldonado put a loaded firearm to his head and pulled the trigger to prove the weapon would not fire with the magazine removed. Maldonado died Friday in the shooting at The Greater Wynnewod Exotic Animal Park in Wynnewood. Maldonado was the husband of Joseph Maldonado - a self-described actor and musician known as ""Joe Exotic"" who runs the zoo. The Oklahoma Libertarian Party in May announced Joseph Maldonado's candidacy. Gov. Mary Fallin is term-limited, and her seat is open for the 2018 election. Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."
"KTEN","http://www.kten.com/story/36561080/sheriff-oklahoma-zookeepers-husband-accidentally-shot-self","","2017-10-10 15:00:00","Sheriff : Oklahoma zookeeper husband accidentally shot self - KTEN . com","KTEN (NBC)","Ada, OK"," WYNNEWOOD, Okla."," WYNNEWOOD, Okla. (AP) - Authorities say the husband of an Oklahoma zookeeper and Libertarian Party candidate for governor apparently accidentally fatally shot himself in the head. Garvin County Sheriff Larry Rhodes said Tuesday that witnesses reported 23-year-old Travis Maldonado put a loaded firearm to his head and pulled the trigger to prove the weapon would not fire with the magazine removed. Maldonado died Friday in the shooting at The Greater Wynnewod Exotic Animal Park in Wynnewood. Maldonado was the husband of Joseph Maldonado - a self-described actor and musician known as ""Joe Exotic"" who runs the zoo. The Oklahoma Libertarian Party in May announced Joseph Maldonado's candidacy. Gov. Mary Fallin is term-limited, and her seat is open for the 2018 election. Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."
"KTEN","http://www.kten.com/story/36562082/sheriff-oklahoma-zookeepers-husband-accidentally-shot-self","","2017-10-10 20:15:00","Sheriff : Oklahoma zookeeper husband accidentally shot self - KTEN . com","KTEN (NBC)","Ada, OK","WYNNEWOOD, Okla.","WYNNEWOOD, Okla. (AP) -- Authorities say the husband of an Oklahoma zookeeper and Libertarian Party candidate for governor apparently accidentally fatally shot himself in the head.Garvin County Sheriff Larry Rhodes said Tuesday that witnesses reported 23-year-old Travis Maldonado put a loaded firearm to his head and pulled the trigger to prove the weapon would not fire with the magazine removed.Maldonado died Friday in the shooting at The Greater Wynnewod Exotic Animal Park in Wynnewood.Maldonado was the husband of Joseph Maldonado -- a self-described politician, actor, and musician known as ""Joe Exotic"" who runs the zoo.In a Facebook post, Maldonado said he was planning funeral services on Saturday, October 14 at the zoo, where work on a memorial is underway.Joe SchreibvogelThe Oklahoma Libertarian Party in May announced Joseph Maldonado's candidacy. Gov. Mary Fallin is term-limited, and her seat is open for the 2018 election.KTEN contributed to this report.Copyright 2017 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."
"KVIA","http://www.kvia.com/crime/authorities-woman-who-mistakenly-shot-boy-said-she-had-4-or-5-sips-of-moonshine/635709203","","2017-10-11 01:30:00","Authorities : Woman who mistakenly shot boy said she had  4 or 5 sips of moonshine  ","KVIA (ABC)","El Paso, TX"," Tanya Croll Tanya Croll LAS CRUCES, New"," Tanya Croll Tanya Croll LAS CRUCES, New Mexico - The woman who accidentally shot her 12-year-old cousin in the back because she mistook him for an intruder told detectives she had ""four or five sips of moonshine,"" said officials with the Doña Ana County Sheriff's Office.Tanya Croll, 36, was arrested and charged with one count of child abuse resulting in great bodily harm and one count of negligent use of a deadly weapon. Sheriff's deputies responded to the 9200 block of El Centro just before midnight on Oct. 7, 2017. Croll called 911 to report the shooting, officials said.Croll allegedly told detectives she heard a noise coming from the kitchen and thought her cousin ""was an intruder."" Croll allegedly said she is afraid of the dark and had been hearing voices in her room.Croll, armed with a 9 millimeter handgun, allegedly fired at least once toward her cousin as the boy was was reaching inside the refrigerator for something to eat and a soda, officials said.The woman said the home was dark when she shot her cousin. ""He moved. I shot,"" Croll allegedly said, before adding her cousin ""looked like the damn boogeyman.""Paramedics airlifted the boy to an El Paso-area hospital, where he is listed in stable condition.Croll allegedly told detectives she had been drinking before the shooting. She is being held without bond at the Doña Ana County Detention Center, pending arraignment. "
"KXII","http://www.kxii.com/content/news/-Sheriff-Oklahoma-zookeepers-husband-accidentally-shot-self-450267893.html","","2017-10-10 20:15:00","Sheriff : Oklahoma zookeeper husband accidentally shot self","KXII (CBS)","Sherman, TX",""," WYNNEWOOD, Okla. (AP) -- Authorities say the husband of an Oklahoma zookeeper and Libertarian Party candidate for governor apparently accidentally fatally shot himself in the head. Garvin County Sheriff Larry Rhodes said Tuesday that witnesses reported 23-year-old Travis Maldonado put a loaded firearm to his head and pulled the trigger to prove the weapon would not fire with the magazine removed. Maldonado died Friday in the shooting at The Greater Wynnewood Exotic Animal Park. Maldonado was the husband of Joseph Maldonado -- a self-described actor and musician known as “Joe Exotic” who runs the zoo. The Oklahoma Libertarian Party in May announced Joseph Maldonado’s candidacy. Gov. Mary Fallin is term-limited, and her seat is open for the 2018 election. Funeral Services will be held for Travis Maldonado at 1:30 p.m. Saturday at the Greater Wynnewood Exotic Animal Park in Wynnewood. In a press release, Joseph Maldonado said the services are open to the general public "
"KXXV","http://www.kxxv.com/story/36569157/good-samaritan-trying-to-help-victim-of-dog-attack-accidentally-shoots-kills-her","","2017-10-11 13:30:00","Good Samaritan trying to help victim of dog attack accidentally - KXXV - TV News Channel 25 - Central Texas News and Weather for Waco , Temple , Killeen","KXXV-WAC (ABC)","Waco, TX","","DETROIT (WXYZ/CNN) – A 53-year-old woman yelled to her neighbor for help when she was attacked by a dog, but as he tried to rescue her, the man accidentally shot and killed her.Police say Patricia Cosby, 53, was walking through a Detroit neighborhood on her way to go babysit Monday night when she was attacked by a stray dog.Cosby reportedly yelled to her friend and neighbor Michael Williams for help.""[He] attempted to be a Good Samaritan, came up – he was a CPL [concealed pistol license] holder – produced his handgun and fired several shots. Unfortunately, one of the shots struck the woman,” said Capt. Darin Szilagy with the Detroit Police Department.Williams says the accident “hurt me so bad.”The victim was transported to the hospital where she died shortly after arrival.Investigators say it will be up to the Wayne County Prosecutor’s Office if any charges will be filed.“Everyone’s responsible for the bullet that comes out of your gun,” Szilagy said. ""It's a very difficult situation. We feel terrible for the woman and her family, and I feel terrible for the man who was trying to truly help someone. It's a lose-lose situation here.”Cosby’s family says they wouldn’t want to press charges if Williams was trying to help their loved one.Investigators are still searching for the dog involved in the incident. They believe it was hit at least once.""We've done a pretty extensive grid search in the neighborhood looking for this animal, be it deceased or wounded, and we have not located it,” Szilagy said.Cosby is survived by several family members, including her stepmother, her father and a son who has special needs.Copyright 2017 WXYZ via CNN. All rights reserved."
